year,month,taxa,species_portuguese,species_english,species_sci,production_kg
2000,2,Crustáceos,Camarão-barba-ruça,Shrimp,Artemesia longinaris,76817
2000,2,Crustáceos,Camarão-branco,Camarão-branco,Litopenaeus schimitti,80
2000,2,Crustáceos,Camarão-cristalino,Shrimp,NA,8560
2000,2,Crustáceos,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,9359
2000,2,Crustáceos,Camarão-santana,Shrimp,Pleoticus muelleri,3624
2000,2,Crustáceos,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,86887
2000,2,Crustáceos,Pitú,Pitú,NA,1250
2000,2,Crustáceos,Sapateira,Edible crab,Cancer pagurus,3647
2000,2,Elasmobrânquios,Cação-anequim,Shark,NA,2084
2000,2,Elasmobrânquios,Cação-anjo,Shark,NA,33293
2000,2,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,22450
2000,2,Elasmobrânquios,Cação-baia,Cação-baia,NA,1024
2000,2,Elasmobrânquios,Cação-gato,Shark,NA,2060
2000,2,Elasmobrânquios,Cação-mangona,NA,NA,427
2000,2,Elasmobrânquios,Cação-martelo,Shark,NA,5776
2000,2,Elasmobrânquios,Cações,Shark,Mustelus spp,14078
2000,2,Elasmobrânquios,Caçonete,Shark,NA,29710
2000,2,Elasmobrânquios,Emplastro,Emplastro,NA,62012
2000,2,Elasmobrânquios,Machote,Spinner Shark,NA,148
2000,2,Elasmobrânquios,Raia,Ray,NA,19310
2000,2,Elasmobrânquios,Raia-viola,NA,NA,22391
2000,2,Elasmobrânquios,Raposa,Raposa,NA,114
2000,2,Elasmobrânquios,Ratinho,Ratinho,NA,988
2000,2,Moluscos,Calamar-argentino,Calamar-argentino,Illex argentinus,1400
2000,2,Moluscos,Lula,Squid,Loligo sanpaulensis,48284
2000,2,Moluscos,Polvo,Octopus,Octopus spp.,6569
2000,2,Não Cadastrado,Diversos,NA,NA,121910
2000,2,Não Cadastrado,Mistura,Other fish,NA,397052
2000,2,Não Cadastrado,Residuo,Residuo,NA,11900
2000,2,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,99837
2000,2,Teleósteos,Agulhão,Atlantic saury,Scomberesox saurus,511
2000,2,Teleósteos,Agulhão-azul,Agulhão-azul,NA,4507
2000,2,Teleósteos,Agulhão-maka,NA,NA,20
2000,2,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,934
2000,2,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,2952
2000,2,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,25188
2000,2,Teleósteos,Atum,Blow goat,Auxis rochei,60454
2000,2,Teleósteos,Bacho,NA,NA,5
2000,2,Teleósteos,Bagre,Couma sea catfish,Sciades couma,4240
2000,2,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,3390
2000,2,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,22476
2000,2,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,58
2000,2,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,1967654
2000,2,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,98240
2000,2,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,162835
2000,2,Teleósteos,Cavala,Chub mackerel,Scomberomorus cavalla,47
2000,2,Teleósteos,Cavalinha,American mackerel,Scomber japonicus,1340
2000,2,Teleósteos,Cherne,Grouper,NA,6750
2000,2,Teleósteos,Cherne-poveiro,Atlantic wreckfish,Polyprion americanus,13384
2000,2,Teleósteos,Cioba,Dog Snapper,Lutjanus analis,68040
2000,2,Teleósteos,Congro,Argentine Conger,Conger spp.,1041
2000,2,Teleósteos,Congro-rosa,Australian Rockling,Genypterus brasiliensis,3128
2000,2,Teleósteos,Corcoroca,Grey Grunt,Haemulon spp.,10030
2000,2,Teleósteos,Corvina,Croaker,Micropogonias furnieri,209816
2000,2,Teleósteos,Dourado,Common dolphifish,Coryphaena hippurus,1740
2000,2,Teleósteos,Enchova,Ancho,Pomatomus saltatrix,9340
2000,2,Teleósteos,Enguia,Common Eel,Conger orbignyanus,1288
2000,2,Teleósteos,Espada,Broadbill,Xiphias gladius,1469
2000,2,Teleósteos,Galo,American John Dory,Zenopsis conchifer,440
2000,2,Teleósteos,Garoupa,Deady,Epinephelus spp.,126
2000,2,Teleósteos,Goete,Jamaica weakfish,Cynoscion jamaicensis,141819
2000,2,Teleósteos,Gordinho,Angelfish,Pomacanthus arcuatus,9510
2000,2,Teleósteos,Guaivira,Jack,Oligoplites spp.,654
2000,2,Teleósteos,Linguado,Flatfish,Paralichthys spp.,41579
2000,2,Teleósteos,Linguado-areia,Flatfish,NA,32406
2000,2,Teleósteos,Linguado-vermelho,Linguado-vermelho,NA,310
2000,2,Teleósteos,Maria-mole,Maria-mole,Cynoscion guatucupa,60654
2000,2,Teleósteos,Meca,Meca,NA,19523
2000,2,Teleósteos,Merluza,Hake,Merluccius hubbsi,13821
2000,2,Teleósteos,Mero,NA,NA,150
2000,2,Teleósteos,Namorado,Namorado,Pseudopercis spp.,1051
2000,2,Teleósteos,Palombeta,Leerfish,Chloroscombrus chrysurus,6680
2000,2,Teleósteos,Pampo,Pampo,Trachinotus spp.,100
2000,2,Teleósteos,Pargo-rosa,Common sea bream,Pagrus pagrus,156
2000,2,Teleósteos,Peixe-porco,Angular roughshark,Oxynotus centrina,114802
2000,2,Teleósteos,Peixe-sapo,Anglerfish,Lophius gastrophysus,26780
2000,2,Teleósteos,Pescada,Weakfish,Cynoscion spp.,40568
2000,2,Teleósteos,Pescada-branca,Weakfish,Cynoscion leiarchus,5150
2000,2,Teleósteos,Pescada-cambucu,Weakfish,NA,1880
2000,2,Teleósteos,Pescadinha-real,Bangamary,Macrodon ancylodon,114270
2000,2,Teleósteos,Prego,Prego,NA,865
2000,2,Teleósteos,Robalo,Snook,Centropomus spp.,450
2000,2,Teleósteos,Roncador,Barred grunt,Conodon nobilis,2800
2000,2,Teleósteos,Sardinha-cascuda,Blackbill sprat,Harengula clupeola,42335
2000,2,Teleósteos,Sardinha-lage,Atlantic thread herring,Opisthonema oglinum,5227
2000,2,Teleósteos,Sororoca,Sororoca,Scomberomorus,20
2000,2,Teleósteos,Tainha,Mullet,Mugil spp.,140
2000,2,Teleósteos,Tira-vira,Brazilian flathead,Percophis brasiliensis,5371
2000,2,Teleósteos,Trilha,Argentine goatfish,Mullus argentinae,2390
2000,3,Crustáceos,Camarão-cristalino,Shrimp,NA,13620
2000,3,Crustáceos,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,244
2000,3,Crustáceos,Pitú,Pitú,NA,3400
2000,3,Crustáceos,Sapateira,Edible crab,Cancer pagurus,4871
2000,3,Elasmobrânquios,Cação-anequim,Shark,NA,863
2000,3,Elasmobrânquios,Cação-anjo,Shark,NA,23022
2000,3,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,16721
2000,3,Elasmobrânquios,Cação-baia,Cação-baia,NA,185
2000,3,Elasmobrânquios,Cação-bico-doce,NA,NA,3461
2000,3,Elasmobrânquios,Cação-mangona,NA,NA,4
2000,3,Elasmobrânquios,Cação-martelo,Shark,NA,2183
2000,3,Elasmobrânquios,Cações,Shark,Mustelus spp,20800
2000,3,Elasmobrânquios,Caçonete,Shark,NA,14167
2000,3,Elasmobrânquios,Emplastro,Emplastro,NA,100110
2000,3,Elasmobrânquios,Machote,Spinner Shark,NA,162
2000,3,Elasmobrânquios,Raia,Ray,NA,46467
2000,3,Elasmobrânquios,Raia-viola,NA,NA,20605
2000,3,Elasmobrânquios,Raposa,Raposa,NA,192
2000,3,Elasmobrânquios,Ratinho,Ratinho,NA,40
2000,3,Moluscos,Calamar-argentino,Calamar-argentino,Illex argentinus,1000
2000,3,Moluscos,Lula,Squid,Loligo sanpaulensis,48925
2000,3,Moluscos,Polvo,Octopus,Octopus spp.,12682
2000,3,Não Cadastrado,Mistura,Other fish,NA,517699
2000,3,Não Cadastrado,Residuo,Residuo,NA,4366
2000,3,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,117922
2000,3,Teleósteos,Agulhão,Atlantic saury,Scomberesox saurus,301
2000,3,Teleósteos,Agulhão-azul,Agulhão-azul,NA,985
2000,3,Teleósteos,Agulhão-maka,NA,NA,15
2000,3,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,1223
2000,3,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,2014
2000,3,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,10868
2000,3,Teleósteos,Atum,Blow goat,Auxis rochei,51334
2000,3,Teleósteos,Bacho,NA,NA,3
2000,3,Teleósteos,Bagre,Couma sea catfish,Sciades couma,15128
2000,3,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,1100
2000,3,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,38355
2000,3,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,32718
2000,3,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,1299558
2000,3,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,96430
2000,3,Teleósteos,Carapau,Jack mackerel,Trachurus lathami,60
2000,3,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,187100
2000,3,Teleósteos,Cavala,Chub mackerel,Scomberomorus cavalla,32
2000,3,Teleósteos,Cavalinha,American mackerel,Scomber japonicus,141067
2000,3,Teleósteos,Cherne,Grouper,NA,4280
2000,3,Teleósteos,Congro,Argentine Conger,Conger spp.,320
2000,3,Teleósteos,Congro-rosa,Australian Rockling,Genypterus brasiliensis,8177
2000,3,Teleósteos,Corcoroca,Grey Grunt,Haemulon spp.,3180
2000,3,Teleósteos,Corvina,Croaker,Micropogonias furnieri,208182
2000,3,Teleósteos,Enchova,Ancho,Pomatomus saltatrix,536
2000,3,Teleósteos,Enguia,Common Eel,Conger orbignyanus,1500
2000,3,Teleósteos,Espada,Broadbill,Xiphias gladius,2757
2000,3,Teleósteos,Galo,American John Dory,Zenopsis conchifer,491
2000,3,Teleósteos,Garoupa,Deady,Epinephelus spp.,2450
2000,3,Teleósteos,Goete,Jamaica weakfish,Cynoscion jamaicensis,122280
2000,3,Teleósteos,Gordinho,Angelfish,Pomacanthus arcuatus,1652
2000,3,Teleósteos,Guaivira,Jack,Oligoplites spp.,5547
2000,3,Teleósteos,Linguado,Flatfish,Paralichthys spp.,35741
