year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
1998,1,Peixe Ósseo,Sapo,Sapo,NA,173,0
1998,1,Peixe Ósseo,Sardinha-bandeira,Brazilian sardinella,NA,2,0
1998,1,Peixe Ósseo,Sargo,Sargo,NA,4,4
1998,1,Peixe Ósseo,Sari-sari,Sari-sari,NA,140,0
1998,1,Peixe Ósseo,Sororoca,Sororoca,Scomberomorus,705,192
1998,1,Peixe Ósseo,Tainha,Mullet,Mugil spp.,21672,2102.9
1998,1,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,59,34.8
1998,1,Peixe Ósseo,Traíra,Traíra,NA,223,0
1998,1,Peixe Ósseo,Trilha,Argentine goatfish,Mullus argentinae,292,0
1998,1,Peixe Ósseo,Vermelho,Snapper,Lutjanus spp.,333,0
1998,2,Crustáceo,Camarão-estuarino,Shrimp,NA,16,56
1998,2,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,7688,17881.63
1998,2,Crustáceo,Camarão-rosa,Shrimp,Farfantepenaeus paulensis,32667,0
1998,2,Crustáceo,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,180007,14621.04
1998,2,Crustáceo,Caranguejo-uçá,Crab,NA,547.54,0
1998,2,Crustáceo,Lagosta,Lobster,Panulirus laevicauda,3,0
1998,2,Crustáceo,Lagostim-de-iguape,Crayfish,NA,1,0
1998,2,Crustáceo,Siri-azul,Crab,NA,480,0
1998,2,Molusco,Concha,Concha,NA,11,0
1998,2,Molusco,Lula,Squid,Loligo sanpaulensis,138634,0
1998,2,Molusco,Polvo,Octopus,Octopus spp.,11846,0
1998,2,Peixe Cartilaginoso,Cação-anjo,Shark,NA,73682,0
1998,2,Peixe Cartilaginoso,Cação-azul,Blue dog,Prionace glauca,18,21.6
1998,2,Peixe Cartilaginoso,Cação-galha-preta,Shark,NA,37,0
1998,2,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,806,403
1998,2,Peixe Cartilaginoso,Cações agrupados,Shark,NA,64233,4624
1998,2,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,4220,3
1998,2,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,1282,111.6
1998,2,Peixe Ósseo,Abrótea,Brazilian codling,Urophycis brasiliensis,1405,0
1998,2,Peixe Ósseo,Agulhão-branco,Agulhão-branco,Tetrapturus albidus,300,0
1998,2,Peixe Ósseo,Agulhão-vela platypterus,Agulhão-vela platypterus,NA,500,0
1998,2,Peixe Ósseo,Atuns agrupados,Tuna,NA,15169,0
1998,2,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,2714,523.6
1998,2,Peixe Ósseo,Baiacú,trunkfish,NA,90,0
1998,2,Peixe Ósseo,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,14673,0
1998,2,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,15251,3355.74
1998,2,Peixe Ósseo,Bicuda,European barracuda,Sphyraena tome,34,0
1998,2,Peixe Ósseo,Cabrinha,East Atlantic Red Gurnard,Prionotus spp.,145,0
1998,2,Peixe Ósseo,Caranha,Dog Snapper,Lutjanus spp.,93,68.4
1998,2,Peixe Ósseo,Carapau,Jack mackerel,Trachurus lathami,28940,0
1998,2,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,4,0
1998,2,Peixe Ósseo,Cavala,Chub mackerel,Scomberomorus cavalla,5,10
1998,2,Peixe Ósseo,Chernes agrupados,Chernes agrupados,NA,15525,0
1998,2,Peixe Ósseo,Cioba,Dog Snapper,Lutjanus analis,78,0
1998,2,Peixe Ósseo,Congro-rosa,Australian Rockling,Genypterus brasiliensis,45,0
1998,2,Peixe Ósseo,Corvina,Bashaw,Micropogonias furnieri,127233,1399.19
1998,2,Peixe Ósseo,Curimbatá,Curimbatá,NA,164,0
1998,2,Peixe Ósseo,Dourado,Common dolphifish,Coryphaena hippurus,2028,0
1998,2,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,603,0
