species_portuguese,sci_name,species_english,
Serrinha,Scomberomorus maculatus,Atlantic spanish mackerel,
Não discriminado,,Não discriminado,
Albacorinha,Thunnus atlanticus,Albacore,
Papa-moscas,,Papa-moscas,
Sardinha-mole,,Sardinha-mole,
Pescada-bicuda,,Pescada-bicuda,
Bonito,Auxis rochei,skipjack tuna,
Cherne-galha-amarela,Hyporthodus flavolimbatus,Grouper,
Cherne-poveiro,Polyprion americanus,Atlantic wreckfish,
Borriquete,,Borriquete,
Raposa,,Raposa,
Vieira,Euvola ziczac,Great Atlantic scallop,
Cherne,Epinephelus spp.,Wreckfish,
Cação-baia,,Cação-baia,
Camarões,,Shrimp,
Moka,,Moka,
Camarões-rosa,,Camarões-rosa,
Cavalas agrupadas,,Cavalas agrupadas,
Nhacunda,,Nhacunda,
Siri-azul-danae,,Siri-azul-danae,
Atum-legítimo,,Tuna,
Foguera,,Foguera,
Chama-maré,,Chama-maré,
Tilápia-do-nilo,Oreochromis niloticus,Nile tilapia,
Peixes ósseos,Osteichthyes,Finfishes nei,
Cação-galha-branca,,Cação-galha-branca,
Cavala-empinge,Acanthocybium solandri,Barracuda,
Camarão-listrado,,Camarão-listrado,
Sardinhas agrupadas,,Sardine,
Viola-de-focinho-curto,,Viola-de-focinho-curto,
Anchovas,,Anchovas,
Cação,,Cação,
Camarao_cativeiro,,Shrimp,
Camarao_rosa,,Shrimp,
Camarao_seteB,,Shrimp,
Cascote,Micropogonias furnieri,Bashaw,
Conglio Rosa,,Conglio Rosa,
Curimbata,,Curimbata,
Dourado_mar,,Dolphinfish,
Manjuba,Anchoa spp.,Anchovy,
Mexilhao_com_casca,,Mussel,
Mexilhao_limpo,,Mussel,
Mistura_agua_salgada,,Mistura_agua_salgada,
Olho de Boi,,Amberjack,
Pargo,Lutjanus purpureus,American red,
Peixe Castanha,,Peixe Castanha,
Peroa Branco,,Peroa Branco,
Pescada Amarela,,Weakfish,
Pescada Cumbucu,,Weakfish,
Pescada Goete,,Weakfish,
Pescada Maria Mole,,Weakfish,
Pescada Tortinha,,Weakfish,
Salmão,,Salmon,
Sardinha Congelada,,Sardine,
Sardinha Fresca,,Sardine,
Sardinha Lages,,Sardine,
Serra,Scomberomorus maculatus,Atlantic spanish mackerel,
Siri,Callinectes spp.,Siri,
Tilapia,,Tilapia,
Traira,,Traira,
Truta,,Truta,
Tucunare,,Tucunare,
PEIXE,,Other fish,
Bacalhau,Micromesistius poutassou,Blue whiting,
Saithe,,Saithe,
Surubim,,Catfish,
Anchova,Engraulis encrasicolus,Bluefish,
Polaca do Alasca,,Polaca do Alasca,
Panga,Pterogymnus laniarius,Panga seabream,
Tambaqui,,Cachama,
Salmão do Atlântico,,Salmão do Atlântico,
Sardinha,Sardina pilchardus,Sardine,
Tambatinga,,Tambatinga,
Cará Açu,,Cará Açu,
Pangasius,,Pangasius,
Polaca,,Polaca,
Ariocó,,Snapper,
Gurijuba,Arius spp.,Flapnose Sea Catfish,
Arraia,,Arraia,
Batata de Pedra,,Batata de Pedra,
Peroá,Balistes capriscus,Common triggerfish,
Dourada,Sparus aurata,Gilthead seabream,
Cação Azul,,Shark,
Filhote,,Kumakuma,
Zarbo,,Zarbo,
Jaú,,Jaú,
Serigado,,Serigado,
Piraúna,,Piraúna,
Carpa Comum,,Carpa Comum,
Pirarara,,Pirarara,
Pirarucú,,Pirarucú,
Verdinho,Micromesistius poutassou,Blue whiting (=Poutassou),
Pescadinha,,Pescadinha,
Congro Rosa,,Congro Rosa,
Xerelete,,Xerelete,
Peixe Espada,,Peixe Espada,
Peixe Sapo,,Peixe Sapo,
Urutinga,,Urutinga,
Pirapema,,Pirapema,
Tucunaré,,Tucunaré,
Truta Arco Íris,,Truta Arco Íris,
Camorim,Centropomus undecimalis,Common snook,
Curimba,Prochilodus nigricans,Black prochilodus,
Cação Anequim,,Cação Anequim,
Sardinha Laje,,Sardinha Laje,
Caparari,Pseudoplatystoma corruscans,Catfish,
Pescada Cambuçu,,Weakfish,
Saramonete,Pseudupeneus maculatus,Copper pilot,
Peixe Galo,,Peixe Galo,
Piranambú,,Piranambú,
Ling,,Ling,
Piracanjuba,,Piracanjuba,
Escolar,Ruvettus pretiosus,Oilfish,
Pescada Branca,,Pescada Branca,
Cubiu,,Cubiu,
Tilápia-Saint-Peter,,Tilapia,
Piramutaba,,Piramutaba,
Boca Torta,,Boca Torta,
Tira Vira,,Tira Vira,
Peixe Lapa,,Peixe Lapa,
Curimatã,,Curimatã,
Salmão Coho,,Salmon,
Uritinga,Arius proops,Uritinga,
Acará Açu,,Acará Açu,
Jundiá,,Jundiá,
Dourado do Mar,,Dolphinfish,
Alabote Dente Curvo,,Alabote Dente Curvo,
Bejupirá,,Bejupirá,
Mandubé,,Mandubé,
Guaiúba,,Guaiúba,
Tamboril,Lophius piscatorius,Angler (=Monk),
Solha,Pleuronectes platessa,European plaice,
Bonito Listrado,,skipjack tuna,
Albacora Bandolim,,Tuna,
Cavala Branca,,Wahoo,
Peixe Porco,,Peixe Porco,
Mapará,,Mapará,
Zebra,,Zebra,
Ariacó,Lutjanus synagris,Bream,
Albacora de Lage,,Tuna,
Peixe Prego,,Oilfish,
Papa Terra,,Papa Terra,
Miragaia,,Miragaia,
Alabote da Groenlândia,,Alabote da Groenlândia,
Cação Anjo,,Shark,
Aracu,Schizodon fasciatus,Characin,
Atum Galha Amarela,,Tuna,
Pintado da Amazônia,,Pintado da Amazônia,
Cação Cambeva,,Cação Cambeva,
Apapá,,Apapá,
Barbado,Polydactylus virginicus,Barbu,
Piranga,,Piranga,
Meka,Xiphias gladius,Broadbill,
Cambeua,Notarius grandicassis,Catfish,
Dentão,Lutjanus jocu,Dog snapper,
Aruanã,,Aruanã,
Coró,Conodon nobilis,Barred grunt,
Bacu,Platydoras costatus,Chocolate catfish,
Acarí Bodó,,Acarí Bodó,
Pescada Cambucu,,Pescada Cambucu,
Mandirá,,Mandirá,
Batata do Alto,,Batata do Alto,
Babão,,Babão,
Peixe Voador,,Peixe Voador,
Matrinxã,,Matrinxã,
Orana,,Orana,
Olho de Cão,,Olho de Cão,
Pescada Olhuda,,Pescada Olhuda,
Agulhinha,Strongylura marina,Agujon,
Sarda,Sarda sarda,Atlantic mackerel,
Timbiro,,Timbiro,
Branquinha,,Branquinha,
Maria Luiza,,Maria Luiza,
Arabaiana,Seriola lalandi,Albacore,
Alabote do Atlântico,,Alabote do Atlântico,
Beijupirá,Rachycentron canadum,Black king,
Quatis,,Quatis,
Bonito Cachorro,,Bonito Cachorro,
Piraíba,,Piraíba,
Cação Martelo,,Cação Martelo,
Parú,Chaetodipterus faber,Angelfish,
Anchoíta,,Anchoíta,
Caraúna,,Caraúna,
Mussum,,Mussum,
Agulha Branca,,Agulha Branca,
Bacalhau da Groenlândia,,Bacalhau da Groenlândia,
Abotoado,Platydoras costatus,Chocolate catfish,
Albacora Branca,,Tuna,
Bonito Pintado,,skipjack tuna,
Merluza de Cauda,,Hake,
Tambacu,,Tambacu,
Piau,,Piau,
Tamuatá,,Tamuatá,
Garoupa de São Tomé,,Garoupa de São Tomé,
Peixe Lua,,Peixe Lua,
Surubim Cachara,,Surubim Cachara,
Catuá,,Catuá,
Curuca,Micropogonias furnieri,Bashaw,
Agulhão Bandeira,,Agulhão Bandeira,
Bonito Barriga Listrada,,Bonito Barriga Listrada,
Cocoroca,Haemulon bonariense,Black grunt,
Sirigado,,Sirigado,
Atum Voador,,Atum Voador,
Clarias,,Clarias,
Bonito do Atlântico,,Bonito do Atlântico,
Cavala Empinge,,Cavala Empinge,
Bijupirá,Rachycentron canadum,Black king,
Sarda do Mar,,Sarda do Mar,
Pescada Gó,,Pescada Gó,
Cururuca,Micropogonias undulatus,Atlantic Croaker,
Camurupim,Megalops atlanticus,Atlantic tarpon,
Pirapitinga,,Pirapitinga,
Cod,,Cod,
Apaiari,,Apaiari,
Haddock,,Haddock,
Bandeirado,Bagre spp.,Catfish,
Piranjica,,Piranjica,
Jundiara,,Jundiara,
Tibiro,,Tibiro,
Cuiú,,Cuiú,
Cara de Gato,,Cara de Gato,
Pargo Rosa,,Pargo Rosa,
Chicharro,Trachurus lathami,Jack mackerel,
Canguira,Trachinotus spp.,Canguira,
Alabote do Pacífico,,Alabote do Pacífico,
Tubarão,,Tubarão,
Serrão,,Serrão,
Albarana,Elops saurus,Bonyfish,
Agulhão Branco,,Agulhão Branco,
Canguiro,Peprilus paru,American harvestfish,
Tamoatá,,Tamoatá,
Pargo Vermelho,,Pargo Vermelho,
Merluza Negra,,Merluza Negra,
Bacalhau Pacífico,,Bacalhau Pacífico,
Agulhão Vela,,Agulhão Vela,
Pescada Cambuci,,Pescada Cambuci,
Piapara,,Piapara,
Cação Espinhoso,,Cação Espinhoso,
Marimbau,,Marimbau,
Anchoveta,Engraulis ringens,Anchoveta,
Jaraqui,,Jaraqui,
Bacalhau Polar,,Bacalhau Polar,
Carpa Capim,,Carpa Capim,
Peixe Pedra,,Peixe Pedra,
Piranha,,Piranha,
Catfish Americano,,Catfish,
Carpa Cabeça Grande,,Carpa Cabeça Grande,
Salmão Keta,,Salmon,
Arenque,Lycengraulis spp.,Atlantic herring,
Pescada Corvina,,Weakfish,
Cação Anjo Liso ,,Cação Anjo Liso ,
Peixe Cabra,,Peixe Cabra,
Peixe Rei,,Peixe Rei,
Piauçu,,Piauçu,
Garapau,Selar crumenophthalmus,Big eye scad,
Patinga,,Patinga,
Xancarrona,,Xancarrona,
Pescada Banana,,Pescada Banana,
Agulhão Preto,,Agulhão Preto,
Carapitanga,Lutjanus spp.,Dog Snapper,
Bagre Amarelo,,Bagre Amarelo,
Bagre Branco,,Bagre Branco,
Cavala Aipim,,Cavala Aipim,
Manjubinha,,Manjubinha,
Zebrinha,,Zebrinha,
Surel,,Surel,
Comprida,,Comprida,
Surubim Pintado,,Surubim Pintado,
Peixe Carvão do Pacifico,,Peixe Carvão do Pacifico,
Bagre Uritinga,,Bagre Uritinga,
Mero,Epinephelus itajara,Atlantic goliath grouper,
Sardinha Cascuda,,Sardinha Cascuda,
Arenque do Pacífico,,Arenque do Pacífico,
Marlim Azu,,Marlim Azu,
Vermelho Caranha,,Vermelho Caranha,
Jacundá,,Jacundá,
RÃ,,RÃ,
Pescadinha Real,,Pescadinha Real,
Atum Azul,,Bluefin tuna,
Lubina,,Lubina,
Cação Lixa,,Cação Lixa,
Paru Branco,,Paru Branco,
Jeju,Hoplias malabaricus,Guabine,
Acarí,,Acarí,
Pescada Dentão,,Pescada Dentão,
Tamboatá,,Tamboatá,
Pescada Verdadeira,,Pescada Verdadeira,
Coroma,Sphyraena guachancho,Barracuda,
Ling Azul,,Ling Azul,
Congro Negro,,Congro Negro,
Banjo,,Banjo,
Bico de Pato,,Bico de Pato,
Cará,,Cará,
Parona,Parona signata,Parona leatherjacket,
Cambéu,,Cambéu,
Merluza Granadeiro Azu,,Merluza Granadeiro Azu,
Pontudo,,Pontudo,
Garoupa Vermelha,,Garoupa Vermelha,
Cação Bagre,,Cação Bagre,
Piavuçu,,Piavuçu,
Carpa Húngara,,Carpa Húngara,
Cujuba,Oxydoras niger,Bagre sierra,
Arraia Chita,,Arraia Chita,
Pema,,Pema,
Manjuba Boca Torta,,Manjuba Boca Torta,
