#,year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
74,2016,11,Crustáceo,Siris agrupados,Crab,NA,703.12,3935.1
75,2016,11,Molusco,Lula,Squid,Loligo sanpaulensis,8,0
76,2016,11,Molusco,Mexilhão,Mussel,Perna perna,6,48
77,2016,11,Molusco,Mexilhão-do-mangue,Mussel,NA,133,1205
78,2016,11,Molusco,Ostra,Oyster,Crassostrea spp.,4416.85,19317.33
79,2016,11,Peixe Cartilaginoso,Cações agrupados,Shark,NA,35,540
80,2016,11,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,74,574
81,2016,11,Peixe Cartilaginoso,Raia-emplastro,Ray,NA,1,0
82,2016,11,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,187,368.35
83,2016,11,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,335,4820.01
84,2016,11,Peixe Ósseo,Atuns agrupados,Tuna,NA,8,59.68
85,2016,11,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,1479,10013
86,2016,11,Peixe Ósseo,Bagre-amarelo,Gillbacker sea catfish,Sciades parkeri,184.5,1012.25
87,2016,11,Peixe Ósseo,Bagre-branco,Catfish,Sciades proops,5337.4,30452.36
88,2016,11,Peixe Ósseo,Baiacú,trunkfish,NA,920,10068.02
89,2016,11,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,1097.5,6566.25
90,2016,11,Peixe Ósseo,Bicuda,European barracuda,Sphyraena tome,5,0
91,2016,11,Peixe Ósseo,Caranha,Dog Snapper,Lutjanus spp.,4,0
92,2016,11,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,173,398.9
93,2016,11,Peixe Ósseo,Caratinga,Mojarra,NA,166.32,477.79
94,2016,11,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,128,896
95,2016,11,Peixe Ósseo,Cavalas agrupadas,Wahoo,NA,1338,15717.63
96,2016,11,Peixe Ósseo,Cavalinha,American mackerel,Scomber japonicus,10,60
97,2016,11,Peixe Ósseo,Congro-rosa,Australian Rockling,Genypterus brasiliensis,2,0
98,2016,11,Peixe Ósseo,Corvina,Croaker,Micropogonias furnieri,5111.5,27719.47
99,2016,11,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,4,16
100,2016,11,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,57.8,130.8
101,2016,11,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,17,110.5
102,2016,11,Peixe Ósseo,Garoupa,Deady,Epinephelus spp.,12,120
103,2016,11,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,60,600
104,2016,11,Peixe Ósseo,Gordinho,Angelfish,Pomacanthus arcuatus,21,0
105,2016,11,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,1473,5111.1
106,2016,11,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,293,4936.7
107,2016,11,Peixe Ósseo,Linguado-areia,Flatfish,NA,5,85
108,2016,11,Peixe Ósseo,Manjuba-chata,anchovy,NA,50,100
109,2016,11,Peixe Ósseo,Manjubas agrupadas,anchovy,NA,50,400
110,2016,11,Peixe Ósseo,Maria-luíza,Croaker,NA,187.5,1875
111,2016,11,Peixe Ósseo,Miraguaia,Miraguaia,NA,139.5,3208.92
112,2016,11,Peixe Ósseo,Mistura,Mistura,NA,3644,9754.26
113,2016,11,Peixe Ósseo,Nundiá,Nundiá,NA,0.5,0
114,2016,11,Peixe Ósseo,Oveva,Cabezon,Larimus breviceps,59,29.5
115,2016,11,Peixe Ósseo,Palombeta,Leerfish,Chloroscombrus chrysurus,405,886.95
116,2016,11,Peixe Ósseo,Pampo,Pampo,Trachinotus spp.,15,75
117,2016,11,Peixe Ósseo,Pararê,Pararê,NA,177.5,754
118,2016,11,Peixe Ósseo,Parati,Mullet,NA,3430.3,8805.77
119,2016,11,Peixe Ósseo,Pargo-rosa,Common sea bream,Pagrus pagrus,65,650
120,2016,11,Peixe Ósseo,Paru,Paru,NA,1428,7556.77
121,2016,11,Peixe Ósseo,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,463.5,3919.13
122,2016,11,Peixe Ósseo,Pescada-banana,Weakfish,NA,27,0
