year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
2014,1,Peixe Ósseo,Espadarte,Swordfish,Xiphias gladius,700,3600
2014,1,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,557.7,1467.55
2014,1,Peixe Ósseo,Galo-de-penacho,Atlantic Moonfish,Selene setapinnis,223.5,592.5
2014,1,Peixe Ósseo,Garoupa,Deady,Epinephelus spp.,2044.1,24654.25
2014,1,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,80138.19,226926.8
2014,1,Peixe Ósseo,Gordinho,Angelfish,Pomacanthus arcuatus,5707.1,10824.3
2014,1,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,14811.98,61010.34
2014,1,Peixe Ósseo,Lagarto,Lizardfish,NA,0.3,4.5
2014,1,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,3750.5,39111.65
2014,1,Peixe Ósseo,Linguado-areia,Flatfish,NA,1482,3349.7
2014,1,Peixe Ósseo,Mandi,catfish,NA,6,38
2014,1,Peixe Ósseo,Manjuba-chata,anchovy,NA,30,0
2014,1,Peixe Ósseo,Manjuba-de-iguape,anchovy,NA,65475.2,206550.47
2014,1,Peixe Ósseo,Manjubas agrupadas,anchovy,NA,3887.5,0
2014,1,Peixe Ósseo,Maria-luíza,Croaker,NA,1781.5,1757.1
2014,1,Peixe Ósseo,Maria-mole,Maria-mole,Cynoscion guatucupa,6755.5,27139.1
2014,1,Peixe Ósseo,Marimbá,Porgy,NA,1.5,12
2014,1,Peixe Ósseo,Merluza,Hake,Merluccius hubbsi,5193,12048.05
2014,1,Peixe Ósseo,Miracéu,Stargazer,NA,2.6,7.15
2014,1,Peixe Ósseo,Miraguaia,Miraguaia,NA,58.5,295.5
2014,1,Peixe Ósseo,Mistura,Mistura,NA,80370.06,138555.2
2014,1,Peixe Ósseo,Namorado,Namorado,Pseudopercis spp.,1313,11348.5
2014,1,Peixe Ósseo,Nundiá,Nundiá,NA,15,120
2014,1,Peixe Ósseo,Olhete,Amberjack,Seriola lalandi,254,4848
2014,1,Peixe Ósseo,Olho-de-boi,Amberjack,NA,393.9,7613.35
2014,1,Peixe Ósseo,Olho-de-cão,Olho-de-cão,Priacanthus spp.,3323,7336.02
2014,1,Peixe Ósseo,Oveva,Cabezon,Larimus breviceps,20560.7,31479.05
2014,1,Peixe Ósseo,Palombeta,Leerfish,Chloroscombrus chrysurus,392,656.33
2014,1,Peixe Ósseo,Pampo,Pampo,Trachinotus spp.,263.1,876
2014,1,Peixe Ósseo,Pampo-galhudo,Pampo-galhudo,NA,10,25
2014,1,Peixe Ósseo,Pararê,Pararê,NA,120,789.25
2014,1,Peixe Ósseo,Parati,Mullet,NA,6432.6,11211.23
2014,1,Peixe Ósseo,Pargo-rosa,Common sea bream,Pagrus pagrus,370.7,1256.63
2014,1,Peixe Ósseo,Paru,Paru,NA,1831.4,8492.53
