"year","common_name","scientific_name","fishing_entity","fishing_sector","Total_tonnes","Landings_Value"
1951,"Drums, croakers","Sciaenidae","Peru","Subsistence",136.7896637928,78243.687689473
1951,"Eastern Pacific bonito","Sarda chiliensis","Peru","Subsistence",1907.1291128941,570231.604755345
1951,"Finfishes","Marine finfishes not identified","Chile","Subsistence",0.732574446,1073.954137836
1951,"Flathead grey mullet","Mugil cephalus","Peru","Subsistence",7.8707273531,4399.73659035877
1951,"Galapagos shark","Carcharhinus galapagensis","Chile","Subsistence",0.0318510629,29.1437225078658
1951,"Grey mullets","Mugil","Brazil","Subsistence",62.7649091652,260411.608126415
1951,"Hapuka","Polyprion oxygeneios","Chile","Subsistence",2.2555,4623.775
1951,"Herrings, sardines, menhadens","Clupeidae","Brazil","Subsistence",30.9502858525,55710.5145345
1951,"Jacks, pompanos","Carangidae","Brazil","Subsistence",6.9252232143,17901.7020089655
1951,"King weakfish","Macrodon ancylodon","Brazil","Subsistence",3.5580330802,17726.1208055564
1951,"Marine fishes nei","Marine fishes not identified","Brazil","Subsistence",70.9486998325,150056.500145737
1951,"Marine fishes nei","Marine fishes not identified","Chile","Subsistence",17.5066051764,10731.5489731444
1951,"Marine fishes nei","Marine fishes not identified","Peru","Subsistence",38.719685453,9408.883565086
1951,"Medusafishes","Centrolophidae","Chile","Subsistence",1.911063771,1542.22846320313
1951,"Pacific menhaden","Ethmidium maculatum","Peru","Subsistence",691.3519703251,143801.209827615
1951,"Pacific sierra","Scomberomorus sierra","Peru","Subsistence",28.7396360749,21296.0703315231
1951,"Peruvian banded croaker","Paralonchurus peruanus","Peru","Subsistence",17.4944803438,10006.8427566764
1951,"Peruvian morwong","Cheilodactylus variegatus","Peru","Subsistence",3.5378521941,1277.16464205234
1951,"Peruvian rock seabass","Paralabrax humeralis","Peru","Subsistence",67.83135937,34390.4992005802
1951,"Peruvian weakfish","Cynoscion analis","Peru","Subsistence",26.349048616,19419.2488300133
1951,"Rainbow runner","Elagatis bipinnulata","Chile","Subsistence",2.548085028,955.531885503799
1951,"Sea catfishes, coblers","Ariidae","Brazil","Subsistence",10.7100543608,29174.1880788192
