"Taxon.Key","FAO_Name","MatchName","SAU_name","Species","Country","Year","Aquaculture","Capture","Exports","Imports","Production","DHC_Use","FMFO_Use","Other_Use","Discards"
NA,"[Hoplias.spp]",NA,NA,"[Hoplias.spp]","Brazil","X2015",1100,0,0,0,0,NA,NA,NA,NA
NA,"[Hoplias.spp]",NA,NA,"[Hoplias.spp]","Brazil","X2016",800,0,0,0,0,NA,NA,NA,NA
NA,"[Leporellus.vittatus]",NA,NA,"[Leporellus.vittatus]","Brazil","X2010",0,1351,0,0,0,NA,NA,NA,NA
NA,"[Leporellus.vittatus]",NA,NA,"[Leporellus.vittatus]","Brazil","X2011",0,1274,0,0,0,NA,NA,NA,NA
NA,"[Leporellus.vittatus]",NA,NA,"[Leporellus.vittatus]","Brazil","X2012",0,1284,0,0,0,NA,NA,NA,NA
NA,"[Leporellus.vittatus]",NA,NA,"[Leporellus.vittatus]","Brazil","X2013",0,1295,0,0,0,NA,NA,NA,NA
NA,"[Leporellus.vittatus]",NA,NA,"[Leporellus.vittatus]","Brazil","X2014",0,1279,0,0,0,NA,NA,NA,NA
NA,"[Leporellus.vittatus]",NA,NA,"[Leporellus.vittatus]","Brazil","X2015",0,1230,0,0,0,NA,NA,NA,NA
NA,"[Leporellus.vittatus]",NA,NA,"[Leporellus.vittatus]","Brazil","X2016",0,1230,0,0,0,NA,NA,NA,NA
NA,"[Leporinus.spp]",NA,NA,"[Leporinus.spp]","Brazil","X2013",3793,0,0,0,0,NA,NA,NA,NA
NA,"[Leporinus.spp]",NA,NA,"[Leporinus.spp]","Brazil","X2014",4400,0,0,0,0,NA,NA,NA,NA
NA,"[Leporinus.spp]",NA,NA,"[Leporinus.spp]","Brazil","X2015",3200,0,0,0,0,NA,NA,NA,NA
NA,"[Leporinus.spp]",NA,NA,"[Leporinus.spp]","Brazil","X2016",2700,0,0,0,0,NA,NA,NA,NA
NA,"[Lophiosilurus.alexandri]",NA,NA,"[Lophiosilurus.alexandri]","Brazil","X2010",0,571,0,0,0,NA,NA,NA,NA
NA,"[Lophiosilurus.alexandri]",NA,NA,"[Lophiosilurus.alexandri]","Brazil","X2011",0,538,0,0,0,NA,NA,NA,NA
NA,"[Lophiosilurus.alexandri]",NA,NA,"[Lophiosilurus.alexandri]","Brazil","X2012",0,542,0,0,0,NA,NA,NA,NA
NA,"[Lophiosilurus.alexandri]",NA,NA,"[Lophiosilurus.alexandri]","Brazil","X2013",0,547,0,0,0,NA,NA,NA,NA
NA,"[Lophiosilurus.alexandri]",NA,NA,"[Lophiosilurus.alexandri]","Brazil","X2014",0,540,0,0,0,NA,NA,NA,NA
NA,"[Lophiosilurus.alexandri]",NA,NA,"[Lophiosilurus.alexandri]","Brazil","X2015",0,515,0,0,0,NA,NA,NA,NA
NA,"[Lophiosilurus.alexandri]",NA,NA,"[Lophiosilurus.alexandri]","Brazil","X2016",0,515,0,0,0,NA,NA,NA,NA
NA,"[Loricaria.cataphracta]",NA,NA,"[Loricaria.cataphracta]","Brazil","X2010",0,589,0,0,0,NA,NA,NA,NA
NA,"[Loricaria.cataphracta]",NA,NA,"[Loricaria.cataphracta]","Brazil","X2011",0,555,0,0,0,NA,NA,NA,NA
NA,"[Loricaria.cataphracta]",NA,NA,"[Loricaria.cataphracta]","Brazil","X2012",0,560,0,0,0,NA,NA,NA,NA
NA,"[Loricaria.cataphracta]",NA,NA,"[Loricaria.cataphracta]","Brazil","X2013",0,564,0,0,0,NA,NA,NA,NA
NA,"[Loricaria.cataphracta]",NA,NA,"[Loricaria.cataphracta]","Brazil","X2014",0,557,0,0,0,NA,NA,NA,NA
NA,"[Loricaria.cataphracta]",NA,NA,"[Loricaria.cataphracta]","Brazil","X2015",0,530,0,0,0,NA,NA,NA,NA
NA,"[Loricaria.cataphracta]",NA,NA,"[Loricaria.cataphracta]","Brazil","X2016",0,530,0,0,0,NA,NA,NA,NA
NA,"[Pimelodus.maculatus]",NA,NA,"[Pimelodus.maculatus]","Brazil","X2010",0,30,0,0,0,NA,NA,NA,NA
NA,"[Pimelodus.maculatus]",NA,NA,"[Pimelodus.maculatus]","Brazil","X2011",0,29,0,0,0,NA,NA,NA,NA
