"group","year","catch","no_hc","aquaculture","exports","imports","total"
"erizo",2014,32343,0,0,362.08848,0,31980.91152
"erizo",2015,62170,0,0,570.51226,0,61599.48774
"erizo",2016,29086,0,0,464.37541,0,28621.62459
"erizo",2017,30108,0,0,2965.51883,0,27142.48117
"gambas",2013,93,0,0,1.12273,0,91.87727
"gambas",2014,71,0,0,0,2.34,73.34
"gambas",2015,118,0,0,0,0,118
"gambas",2016,29,0,0,0,0,29
"gambas",2017,59,0,0,0,0,59
"invertebrados_otros",2013,9,0,0,35.7594,19.38799,-7.37141
"invertebrados_otros",2014,60,0,0,9.5096,18.94453,69.43493
"invertebrados_otros",2015,400,0,0,10.342,21.84086,411.49886
"invertebrados_otros",2016,205,0,0,9.48749,12.15969,207.6722
"invertebrados_otros",2017,436,0,0,105.44238,24.25448,354.8121
"jaiba",2013,5424,0,0,3610.87648,0,1813.12352
"jaiba",2014,46480,0,0,28054.464,186.37504,18611.91104
"jaiba",2015,287952,0,0,71975.56608,2061.1392,218037.57312
"jaiba",2016,114208,0,0,72758.04416,2144.67648,43594.63232
"jaiba",2017,118608,0,0,177878.54976,5633.68448,-53636.86528
"jibia",2013,106271,3784,0,0,0,102487
"jibia",2014,176602,9339,0,0,0,167263
"jibia",2015,247917,0,0,0,0.2775,247917.2775
"jibia",2016,180914,145,0,0,45.6078,180814.6078
"jibia",2017,152537,103,0,69205.96911,0,83228.03089
"jurel",2013,925440,337008,0,537933.68152,9703.52626,60201.84474
"jurel",2014,814803,309444,0,397994.89473,10862.63602,118226.74129
"jurel",2015,963981,519873,0,258119.00727,25620.7956,211609.78833
"jurel",2016,969894,590067,0,281171.11671,17838.4969,116494.38019
"jurel",2017,710592,380708,0,238233.66696,28308.88275,119959.21579
"langostino_col",2013,8404,0,0,852.59989,0,7551.40011
"langostino_col",2014,8191,25,0,1169.00808,0,6996.99192
"langostino_col",2015,7309,0,0,941.31985,0.096,6367.77615
"langostino_col",2016,5413,0,0,769.28442,5.424,4649.13958
"langostino_col",2017,5661,0,0,594.31697,0,5066.68303
"langostinos_otros",2013,3057,34,0,156.44407,0,2866.55593
