"especie_SERNAPESCA","sc_name","group"
"CHORITO","Mytilus chilensis","mejillon"
"CHORO","Choromytilus chorus","mejillon"
"CULENGUE","Gari solida","almeja_otras"
"HUEPO O NAVAJA DE MAR","Ensis macha","navaja"
"JIBIA O CALAMAR ROJO","Dosidicus gigas","jibia"
"JULIANA O TAWERA","Tawera gayi","almeja_gayi"
"LAPA","Fissurella spp.","moluscos_otros"
"LAPA NEGRA","Fissurella latimarginata","moluscos_otros"
"LAPA PICTA","Fissurella picta","moluscos_otros"
"LAPA REINA","Fissurella maxima","moluscos_otros"
"LAPA ROSADA","Fissurella cumingi","moluscos_otros"
"LOCO","Concholepas concholepas","loco"
"MACHA","Mesodesma donacium","macha"
"NAVAJUELA","Tagelus dombeii","navajuela"
"OSTION DEL NORTE","Argopecten purpuratus","ostion"
"OSTION DEL SUR","Chlamys vitrea","moluscos_otros"
"OSTION PATAGONICO","Chlamys patagonica","ostion"
"OSTRA CHILENA","Ostrea chilensis","ostra"
"OSTRA DEL PACIFICO","Crassostrea gigas","ostra"
"PULPO DEL NORTE","Octopus (vulgaris) mimus","pulpo"
"PULPO DEL SUR","Enteroctopus megalocyathus","pulpo"
"TAQUILLA","Mulinia edulis","almeja_otras"
"TUMBAO","Semele solida","almeja_otras"
"CAMARON NAILON","Heterocarpus reedi","camaron_nai"
"CAMARON DE RIO DEL NORTE","Cryphiops caementarius","camaron_rio"
"CAMARON ECUATORIANO O PENAEUE","Penaeus vannamei","camaron_ecu"
"CANGREJO DORADO DE J. FERNANDEZ","Chaceon chilensis","cangrejos_otros"
"CENTOLLA","Lithodes santolla","centolla"
"CENTOLLON","Paralomis granulosa","crustaceos_otros"
"CENTOLLON DEL NORTE",NA,"crustaceos_otros"
"GAMBA","Haliporoides diomedeae","gambas"
"JAIBA","Cancer spp.","jaiba"
"JAIBA LIMON","Cancer porteri","jaiba"
"JAIBA MARMOLA","Cancer edwardsi","jaiba"
"JAIBA MORA","Homalaspis plana","jaiba"
"JAIBA PACO","Mursia gaudichaudi","crustaceos_otros"
"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus","jaiba"
"JAIBA PANCORA","Hemigrapsus crenulatus","Crustaceos_otros"
"JAIBA PATUDA","Taliepus marginatus","crustaceos_otros"
"JAIBA PELUDA O PACHONA","Cancer setosus","jaiba"
"JAIBA REINA","Cancer coronatus","jaiba"
"JAIBA REMADORA","Ovalipes trimaculatus","jaiba"
