"species","year","tons","sc_name","en_name","group","en_group"
"SARDINA","2013",67,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARDINA AUSTRAL","2013",27214,"Sprattus fuegensis","Falkland sprat","sardina","Sprat and herring"
"SARDINA COMUN","2013",236968,"Strangomera bentincki","Araucanian herring","sardina","Sprat and herring"
"SARGO","2013",21,"Anisotremus scapularis","Peruvian grunt","pescado_otros","Fish"
"SIERRA","2013",1962,"Thyrsites atun","Snoek","tiburon","Shark"
"TOLLO","2013",9,"Mustelus mento","Speckled smooth-hound","tiburon","Shark"
"TOLL0 DE CACHOS","2013",NA,"Squalus acanthias","Picked dogfish","tiburon","Shark"
"TOMOYO","2013",NA,"Labrisomus philippii","Chalapo clinid","pescado_otros","Fish"
"TRUCHA ARCOIRIS","2013",145625,"Oncorhynchus mykiss","Rainbow trout","trucha","Trout"
"TURBOT","2013",107,"Scophtalmus maximus","Turbot","pescado_otros","Fish"
"VIDRIOLA, PALOMETA, DORADO O TOREMO","2013",531,"Seriola lalandi","Yellowtail amberjack","pescado_otros","Fish"
"VIEJA O MULATA","2013",7,"Graus nigra","Vieja","pescado_otros","Fish"
"OTROS PESCADOS","2013",73,"Fish","Fish","pescado_otros","Fish"
"ACHA","2014",NA,"Medialuna ancietae","Sea Chab","pescado_otros","Fish"
"AGUJILLA","2014",419,"Scomberesox saurus scombroides","King gar","pescado_otros","Fish"
"ALBACORA","2014",5799,"Xiphias gladius","Swordfish","atunes","Tuna"
"ALFONSINO","2014",NA,"Beryx splendens","Splendid alfonsino","pescado_otros","fish"
"ANCHOVETA","2014",817900,"Engraulis ringens","Anchoveta","pescado_otros","Fish"
"ANCHOVETA BLANCA","2014",NA,"Anchoa nasus","Longnose anchovy","pescado_otros","Fish"
"ANGUILA","2014",78,"Ophichthus spp.","eel","anguila","Eel"
"APANADO","2014",16,"Hemilutjanus macrophthalmos","Grape-eye seabass","pescado_otros","Fish"
"ATUN ALETA AMARILLA","2014",8,"Thunnus albacares","Yellowfin tuna","atunes","Tuna"
"ATUN ALETA LARGA","2014",8,"Thunnus alalunga","Albacore","atunes","Tuna"
"ATUN OJOS GRANDES","2014",NA,"Thunnus obesus","Bigeye tuna","atunes","Tuna"
"AYANQUE","2014",NA,"Cynoscion analis","Peruvian weakfish","pescado_otros","Fish"
"AZULEJO","2014",282,"Prionace glauca","Blue shark","tiburon","Shark"
"BACALADILLO O MOTE","2014",50543,"Normanichthys crockeri","Mote sculpin","pescado_otros","Fish"
"BACALAO DE J. FERNANDEZ","2014",NA,"Polyprion oxygeneios","Hapuku wreckfish","pescado_otros","Fish"
"BACALAO DE PROFUNDIDAD","2014",2707,"Dissostichus eleginoides","Patagonian toothfish","pescado_otros","Fish"
"BESUGO","2014",2,"Epigonus crassicaudus","BESUGO","pescado_otros","Fish"
"BLANQUILLO","2014",41,"Prolatilus jugularis","Pacific sandperch","pescado_otros","Fish"
"BONITO","2014",38,"Sarda chiliensis","Eastern Pacific bonito","bonito","Bonito"
"BRECA O BILAGAY","2014",110,"Cheilodactylus variegatus","Peruvian morwong","pescado_otros","Fish"
"BROTULA","2014",522,"Salilota australis","Tadpole codling","pescado_otros","Fish"
"CABALLA","2014",24158,"Scomber japonicus","Chub mackerel","caballa","Caballa"
"CABINZA","2014",82,"Isacia conceptionis","Cabinza grunt","pescado_otros","Fish"
"CABRILLA","2014",221,"Paralabrax humeralis","Peruvian rock seabass","pescado_otros","Fish"
"CACHURRETA","2014",NA,"Katsuwonus pelamis","Skipjack tuna","atunes","Tuna"
"CAZON","2014",NA,"Galeorhinus galeus","Tope shark","tiburon","Shark"
"CHANCHARRO","2014",93,"Helicolenus lengerichi","Rockfish helicolenus","pescado_otros","Fish"
"COCHINILLA","2014",NA,"Navodon Paschalis","Navodon","pescado_otros","Fish"
"COJINOBA","2014",3636,"Seriolella ","Warehou","pescado_otros","Fish"
"CONGRIO COLORADO","2014",636,"Genypterus chilensis","Red cusk-eel","congrio","Cusk-eel"
"CONGRIO DORADO","2014",855,"Genypterus blacodes","Pink cusk-eel","congrio","Cusk-eel"
"CONGRIO NEGRO","2014",257,"Genypterus maculatus","Black cusk-eel","congrio","Cusk-eel"
"CORVINA","2014",924,"Cilus gilberti","Corvina drum","pescado_otros","Fish"
"DORADO DE ALTURA","2014",237,"Coryphaena hippurus","Common dolphinfish","pescado_otros","Fish"
"DRACO RAYADO","2014",27,"Champsocephalus gunnari","Mackerel icefish","pescado_otros","Fish"
"HUAIQUIL O CORVINILLA","2014",NA,"Micropogonias manni","Micropogonias manni","pescado_otros","Fish"
"JERGUILLA","2014",21,"Aplodactylus punctatus","Jerguilla","pescado_otros","Fish"
"JUREL","2014",271601,"Trachurus murphyi","Chilean jack mackerel","jurel","Jack mackerel"
"LENGUADO","2014",18,"Paralichthys spp.","Large-tooth flounders","pescado_otros","Fish"
"LISA","2014",59,"Mugil cephalus","Flathead grey mullet","pescado_otros","Fish"
"MACHUELO TRITRE","2014",8223,"Ethmidium maculatum","Pacific menhaden","pescado_otros","Fish"
"MARLIN","2014",42,"Tetrapturus spp.","Tetrapturus","pescado_otros","Fish"
"MARRAJO O TIBURON","2014",314,"Isurus oxyrinchus","Shortfin mako","tiburon","Shark"
"MERLUZA COMUN","2014",18573,"Merluccius gayi gayi","South Pacific hake","merluza","Hake"
"MERLUZA DE COLA","2014",39345,"Macruronus magellanicus","Patagonian grenadier","merluza","Hake"
"MERLUZA DE TRES ALETAS","2014",11191,"Micromesistius australis","Southern blue whiting","merluza","Hake"
"MERLUZA DEL SUR","2014",12393,"Merluccius australis","Southern hake","merluza","Hake"
"NANUE","2014",NA,"Kiphosus sandwicensis","Pacific chub","pescado_otros","Fish"
"ORANGE ROUGHY","2014",NA,"Hoplosthethus atlanticus","Orange roughy","pescado_otros","Fish"
"PAMPANITO","2014",3366,"Stromateus stellatus","Starry butterfish","pescado_otros","Fish"
"PEJEGALLO","2014",415,"Callorhinchus callorhynchus","American Elephantfish","pescado_otros","Fish"
"PEJEPERRO","2014",8,"Semicossyphus maculatus","Sheephead","pescado_otros","Fish"
"PEJERRATA","2014",54,"Coelorhynchus chilensis","Chilean grenadier","pescado_otros","Fish"
"PEJERREY DE MAR","2014",1146,"Odontesthes regia","Chilean silverside","pescado_otros","Fish"
"PEJESAPO","2014",3,"Sicyases sanguin","Pejesapo","pescado_otros","Fish"
